pathImg,option,price,title,hot_line,url,point,rating_total,producer,color,Hệ điều hành,Ngôn ngữ,Màn hình,Camera sau,Camera trước,Chụp ảnh nâng cao,Quay phim,chip,ram,memory,Thẻ nhớ ngoài,Kích thước,Trọng lượng g,Dung lượng pin,Mạng di động,SIM,Wifi,Sạc
https://didongmango.com/images/products/2022/06/11/large/iphone-11-pro-max-green-600x600_1654938408.jpg,,14.290.000₫,iPhone 11 Pro Max 64G cũ (Đẹp 99%) Pin 9x ,0982351080,https://didongmango.com/iphone-11-pro-max/iphone-11-pro-max-64g-cu-dep-99-pin-9x-p1514.html,4/5,16,IPHONE,"Đen,Trắng,Xanh,Vàng",iOS 14.4,Tiếng Việt,Super Retina XDR OLED 6.5 inches 1242 x 2688 pixels,12MP + 12MP + 12MP,12 MP,"Quad-LED dual-tone flash, HDR photo/panorama","2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.",Apple A13 Bionic,4 GB,64 GB,Không,158 x 77.8 x 8.1 mm,226 g,3969 mAh,2G/ 3G/ 4G,1 SIM NANO,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot","Sạc nhanh, sạc không dây"
"https://didongmango.com/images/products/2022/06/10/original/thumb_11-promax_1_1654879781.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/thumb_11-promax_2_1654879781.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/thumb_11-promax_3_1654879781.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/thumb_11-promax_4_1654879781.jpg.jpg",64G,10.790.000₫,iPhone 11 Pro 64G cũ (Đẹp 99%) ,0982351080,https://didongmango.com/iphone-11-pro-max/iphone11-pro-p1179.html,5/5,10,IPHONE,"Đen,Trắng,Vàng,Xanh",iOS 14.4,Tiếng Việt,Super Retina XDR OLED 5.8 inches 1125 x 2436 pixel,12 MP + 12 MP + 12 MP,12 MP,"Quad-LED dual-tone flash, HDR photo/panorama","2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.",Apple A13 Bionic,4 GB,64 GB,Không,144 x 71.4 x 8.1 mm,188 g,3046 mAh,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot",1 SIM NANO,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot","Sạc nhanh, sạc không dây"
"https://didongmango.com/images/products/2022/06/10/original/6sv_1654884315.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/6sx_1654884315.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/6st_1654884315.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/6sh_1654884315.jpg.jpg",16G,2.390.000₫,iPhone 6S 16G cũ (Đẹp 99%) ,0982351080,https://didongmango.com/iphone-6s/iphone-6s-cu-99-p745.html,5/5,127,IPHONE,"Hồng,Xám,Trắng,Vàng",iOS 11,Tiếng Việt,LED-backlit IPS LCD 4.7 inches Retina 750 x 1334 pixels,"12 MP, f/2.2","5 MP, f/2.2","Autofocus, HDR, Panorama, Led Flash","4K@30fps, 1080p@60fps,1080p@120fps, 720p@240fps",Apple A9 Dual-core 1.84 GHz Twister,2G,16G,Không,138.3 x 67.1 x 7.1 mm,143g,Li-Ion 1715 mAh,2G/ 3G/ 4G,1 sim,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Lightning
https://didongmango.com/images/products/2022/06/11/original/283713066_3388938837992929_374368596409890717_n_1654938732.jpg.jpg,64G,13.990.000₫,iPhone 11 Pro Max 64G cũ (Đẹp 99%) ,0982351080,https://didongmango.com/iphone-11-pro-max/iphone-11-pro-max-cu-moi-99-p1180.html,4/5,16,IPHONE,"Đen,Trắng,Vàng,Xanh",iOS 14.4,Tiếng Việt,Super Retina XDR OLED 6.5 inches 1242 x 2688 pixels,12MP + 12MP + 12MP,12 MP,"Quad-LED dual-tone flash, HDR photo/panorama","2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.",Apple A13 Bionic,4 GB,64 GB,Không,158 x 77.8 x 8.1 mm,226 g,3969 mAh,2G/ 3G/ 4G,1 SIM NANO,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot","Sạc nhanh, sạc không dây"
"https://didongmango.com/images/products/2022/06/10/original/thumb_11-promax_1_1654879611.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/thumb_11-promax_3_1654879611.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/thumb_11-promax_4_1654879611.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/thumb_11-promax_2_1654879611.jpg.jpg",256G,11.990.000₫,iPhone 11 Pro 256G cũ (Đẹp 99%) ,0982351080,https://didongmango.com/iphone-11-pro-max/iphone-11-pro-256g-cu-dep-99-p1481.html,5/5,2,IPHONE,"Đen,Trắng,Vàng,Xanh",iOS 14.4,Tiếng Việt,Super Retina XDR OLED 5.8 inches 1125 x 2436 pixel,12 MP + 12 MP + 12 MP,12 MP,"Quad-LED dual-tone flash, HDR photo/panorama","2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.",Apple A13 Bionic,4 GB,64 GB,Không,144 x 71.4 x 8.1 mm,188 g,3046 mAh,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot",1 SIM NANO,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot","Sạc nhanh, sạc không dây"
"https://didongmango.com/images/products/2022/06/10/original/7pd_1654881594.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/7pt_1654881594.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/7ph_1654881594.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/7pv_1654881594.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/7pdo_1654884474.jpg.jpg",128G,5.190.000₫,iPhone 7 Plus 128G cũ (Đẹp 99%) ,0982351080,https://didongmango.com/iphone-7/iphone-7-plus-128g-cu-99-p750.html,5/5,163,IPHONE,"Trắng,Hồng,Đen,Đỏ,Vàng",iOS 14.4,Tiếng Việt,LED-backlit IPS LCD 5.5 inches Full HD,"2x 12 MP, f/1.8, 28mm & f/2.8, 56mm","7 MP, f/2.2","tự động lấy nét nhận diện theo giai đoạn, 2x zoom quang học, OIS, 4 LED flash 2 tone  Chụp ảnh xóa phông  Led Flash, Autofocus, HDR, Panorama","4K@30fps, 1080p@30/60/120fps, 720p@240fps",Apple A10 Fusion,3Gb,128G,Không,158.2 x 77.9 x 7.3 mm,188g,Li-Ion 2900 mAh,2G/ 3G/ 4G,1 sim,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Lightning
"https://didongmango.com/images/products/2022/06/10/original/thumb_11-promax_1_1654879067.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/thumb_11-promax_2_1654879068.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/thumb_11-promax_3_1654879068.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/thumb_11-promax_4_1654879068.jpg.jpg",256G,15.690.000₫,iPhone 11 Pro Max 256G cũ (Đẹp 99%) ,0982351080,https://didongmango.com/iphone-11-pro-max/iphone-11-pro-max-cu-moi-99-256-p1476.html,5/5,7,IPHONE,"Trắng,Đen,Vàng,Xanh",iOS 14.4,Tiếng Việt,Super Retina XDR OLED 6.5 inches 1242 x 2688 pixels,12MP + 12MP + 12MP,12 MP,"Quad-LED dual-tone flash, HDR photo/panorama","2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.",Apple A13 Bionic,4 GB,256 GB,Không,158 x 77.8 x 8.1 mm,226 g,3969 mAh,2G/ 3G/ 4G,1 SIM NANO,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot","Sạc nhanh, sạc không dây"
"https://didongmango.com/images/products/2022/06/10/original/thumb_ip11_2_1654879495.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/thumb_ip11_7_1654879496.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/thumb_ip11_3_1654879496.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/thumb_ip11_6_1654879496.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/thumb_ip11_5_1654879496.jpg.jpg,https://didongmango.com/images/products/2022/06/10/original/thumb_ip11_4_1654879496.jpg.jpg",128G,10.290.000₫,iPhone 11 128G cũ (Đẹp 99%) ,0982351080,https://didongmango.com/iphone-11-pro-max/iphone-11-128g-cu-99-p1486.html,5/5,6,IPHONE,"Trắng,Tím,Đỏ,Đen,Vàng,Xanh",iOS 14.4,Tiếng Việt,Liquid Retina IPS LCD 6.1 inches 828 x 1792 pixels,12 MP + 12MP,12 MP,"Quad-LED dual-tone flash, HDR photo/panorama","2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.",Apple A13 Bionic,4 GB,64 GB,Không,150.9 x 75.7 x 8.3 mm,194 g,3110 mAh,2G/ 3G/ 4G,1 SIM NANO,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot",Sạc Nhanh 18W
https://didongmango.com/images/products/2020/07/04/original/-1-thietke-sony-xperia-xz2_1593835878.jpg.jpg,,3.190.000₫,Sony Xperia XZ2 Mới ,0982351080,https://didongmango.com/sony-xz2/sony-xperia-xz2-new-p1342.html,5/5,240,SONY,"Tím,Trắng,Đen,Xanh",,8.0,Tiếng Việt,IPS 5.7 inches tỷ lệ 189,"19 MP, f/2.0","5 MP, f/2.2","LED flash, HDR, panorama","2160p@30fps, 1080p@60fps, 1080p@30fps gyro-EIS, 1080p@960fps",Snapdragon 845,4 GB RAM,64Gb,Có,153 x 72 x 11.1 mm,198 g,Li-Ion 3180 mAh,2G/3G/4G,1 Sim,Wi-Fi 802.11 a/b/g/n/ac
https://didongmango.com/images/products/2022/05/23/large/sony-xperia-5-white-600x600_1653363822.jpg,,5.290.000₫,Sony Xperia 5 2 SIM cũ (Đẹp 99%) ,0982351080,https://didongmango.com/sony-xperia-5/sony-xperia-5-cu-copy-p1497.html,5/5,7,SONY,,,11,Tiếng Việt,OLED 6.1 inches 1080 x 2520 pixels,12 MP + 12 MP + 12 MP,8 MP,Quay Siêu chậm Super Slow Motion Lấy nét theo pha PDAF Ban đêm Night Mode Trôi nhanh thời gian Time Lapse Quay chậm Slow Motion Xóa phông Zoom quang học Chạm lấy nét Toàn cảnh Panorama Chống rung quang học OIS Làm đẹp Beautify Tự động lấy,"4K@24/30fps HDR, 1080p@60fps, 1080p@30fps 5-axis gyro-EIS",Snapdragon 855,6GB,64GB,microSDXC,158 x 68 x 8.2 mm,164 g,3140 mAh,2G / 3G / 4G,1 SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot"
