pathImg,option,price,title,hot_line,url,point,rating_total,producer,Công nghệ màn hình,Độ phân giải,Hệ điều hành,chip,memory,ram,Mạng di động,Số khe sim,color
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/01/04/cyan_637453531885747690.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/01/04/black.png'}",,"850,000 ₫",Điện thoại di động Nokia 215 4G chính hãng,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/nokia-215-4g-chinh-hang,TB,0 lượt đánh giá,Nokia,TFT LCD,"Không, Không",,,Không,Không,Hỗ trợ 4G,2 Nano SIM,"Black,Cyan"
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/05/07/image-removebg-preview_637875529202208799.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/05/21/image-removebg-preview-27.png'}",3GB/64GB,"2,890,000 ₫",Điện thoại di động Nokia C21 Plus 3GB/64GB - Chính hãng,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/nokia-c21-plus-3gb-64gb-chinh-hang,TB,0 lượt đánh giá,Nokia C21 Plus 3GB/64GB - Chính hãng,Đang cập nhật,"Đang cập nhật, Chính 13 MP &amp; Phụ 2 MP",Android 11 Go Edition,Spreadtrum SC9863A 8 nhân,64 GB,3 GB,Hỗ trợ 4G,2 Nano SIM,"Xanh,Xám"
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/05/07/image-removebg-preview_637875529202208799.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/05/21/image-removebg-preview-27.png'}",3GB/32GB,"2,690,000 ₫",Điện thoại di động Nokia C21 Plus 3GB/32GB - Chính hãng,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/nokia-c21-plus-3gb-32gb-chinh-hang,TB,0 lượt đánh giá,Nokia C21 Plus 3GB/32GB - Chính hãng,Đang cập nhật,"Đang cập nhật, Chính 13 MP &amp; Phụ 2 MP",Android 11 Go Edition,Spreadtrum SC9863A 8 nhân,32 GB,3 GB,Hỗ trợ 4G,2 Nano SIM,"Xanh,Xám"
{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/05/07/image-removebg-preview_637875529202208799.png'}, 2GB/64GB,"2,690,000 ₫",Điện thoại di động Nokia C21 Plus 2GB/64GB - Chính hãng,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/nokia-c21-plus-2gb-64gb-chinh-hang,TB,0 lượt đánh giá,Nokia C21 Plus 2GB/64GB - Chính hãng,Đang cập nhật,"Đang cập nhật, Chính 13 MP &amp; Phụ 2 MP",Android 11 Go Edition,Spreadtrum SC9863A 8 nhân,64 GB,2 GB,Hỗ trợ 4G,2 Nano SIM,Xanh
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/03/01/nokia-g21-7.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/03/01/nokia-g21-2.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/03/01/nokia-g21-8.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/03/01/nokia-g21-9.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/03/01/nokia-g21-3.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/03/01/nokia-g21-4.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/04/18/image-removebg-preview_637858769092281966.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/03/01/nokia-g21-10.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/03/01/nokia-g21-5.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/03/01/nokia-g21-6.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/04/18/image-removebg-preview-11.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/03/01/nokia-g21-1.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/04/18/image-removebg-preview-10.png'}",,"3,580,000 ₫",Điện thoại di động Nokia G21- 4GB/128GB - Chính Hãng,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/nokia-g21-4gb-128gb-chinh-hang,TB 5,1 lượt đánh giá,Nokia G21- 4GB/128GB - Chính Hãng,209 màn hình giọt nước | Tốc độ làm tươi màn hình 90Hz,"50MP AF + 2MP Macro + 2MP FF Cảm biến độ sâu trường ảnh, AI Super Resolution Zoom | Flash Led, 8MP",,Vi xử lý Unisoc T606 2xA75 and 6xA55 1.6G,128GB,4GB,"Tốc độ mạng, GSM 850, 900, 1800, 1900, WCDMA 1, 5, 8, LTE FDD 1, 3, 5, 7, 8, 20, 28, 38, 40, 41 full, LTE CAT4",SIM Nano SIM + Nano SIM hoặc Nano SIM + MicroSD,"Xanh Bắc Âu,Tím Cực Quang"
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/09/22/image-removebg-preview-4.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/09/22/image-removebg-preview-5.png'}",2GB/32 GB,"2,280,000 ₫",Điện thoại di động Nokia C30 - 2GB/32GB - Chính Hãng,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/nokia-c30-2gb-32-chinh-hang,TB,0 lượt đánh giá,Nokia C30 - 2GB/32GB - Chính Hãng,IPS LCD,"Chính 13 MP &amp; Phụ 2 MP, 5 MP",Android 11 Go Edition,Spreadtrum SC9863A 8 nhân,32 GB,2 GB,Hỗ trợ 4G,2 Nano SIM,Xanh Lục
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/09/22/image-removebg-preview-4.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/09/22/xl.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/09/22/xasm-khoi.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/09/22/image-removebg-preview-5.png'}",3GB/32GB,"2,680,000 ₫",Điện thoại di động Nokia C30 - 3GB/32GB - Chính Hãng,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/nokia-c30-chinh-hang,TB 1.5,1 lượt đánh giá,Nokia C30 - 3GB/32GB - Chính Hãng,IPS LCD,"Chính 13 MP &amp; Phụ 2 MP, 5 MP",Android 11 Go Edition,Spreadtrum SC9863A 8 nhân,32 GB,3 GB,Hỗ trợ 4G,2 Nano SIM,"Xám khói,Xanh Lục"
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/07/10/image-removebg-preview-3.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/07/10/image-removebg-preview-4.png'}",,"720,000 ₫",Điện thoại di động Nokia 105 4G - chính hãng,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/nokia-105-4g-chinh-hang,TB 1,1 lượt đánh giá,Nokia,,,,,,,,,"Black,Blue"
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/07/10/image-removebg-preview-7.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/07/10/image-removebg-preview-5.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/07/10/image-removebg-preview-6.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/07/10/image-removebg-preview-8.png'}",,"820,000 ₫",Điện thoại di động Nokia 110 4G - Chính hãng,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/nokia-110-4g-chinh-hang,TB,0 lượt đánh giá,Nokia,,,,,,,,,"Black,Blue"
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/04/18/image-removebg-preview-7.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/04/18/image-removebg-preview-8.png'}",Reno7,"7,790,000 ₫",,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/oppo-reno7-chinh-hang,TB,0 lượt đánh giá,OPPO,AMOLED,"64MP + 8MP + 2MP, 32MP","Android 11, ColorOS 12","Snapdragon™ 680, 8 cores, up to 2.4 GHz",128GB,8 GB,,2 Nano SIM,"Black,Orange"
