images_intro,price,title,hot_line,link_source,rating_total,branch,RAM,CPU,Bộ nhớ,Màn hình,Màu sắc
https://cdn.mediamart.vn/images/product/din-thoi-oppo-cph2343---reno7-z-5g-den_ed63624c.jpg,9.690.000 ₫,Điện thoại OPPO CPH2343 - Reno7 Z 5G Đen,1900.6788,https://mediamart.vn/smartphones/dien-thoai-oppo-cph2343-reno7-z-5g-den,(0) ,Oppo,8 GB,Snapdragon 695,128 GB,6.43 inch,"7z Đen,7z Bạc"
https://cdn.mediamart.vn/images/product/din-thoi-oppo-cph2349---a16k-xanh-thi-thung_6a59751e.jpg,3.190.000 ₫,Điện thoại OPPO CPH2349 - A16k Xanh thời thượng,1900.6788,https://mediamart.vn/smartphones/dien-thoai-oppo-cph2349-a16k-xanh-thoi-thuong,(0) ,Oppo,3 GB,MT6765,32 GB,6.52 inch,"Xanh thời thượng,Đen mạnh mẽ,Đen bí ẩn"
https://cdn.mediamart.vn/images/product/-Boa3Ze.jpg,7.490.000 ₫,Điện thoại OPPO CPH2237 - Reno 6Z 5G Đen,1900.6788,https://mediamart.vn/smartphones/dien-thoai-oppo-cph2237-reno-6z-5g-den,(1) ,Oppo,8 GB,Dimensity 800U,128 GB,6.43 inch,"Đen,Bạc"
https://cdn.mediamart.vn/images/product/dien-thoai-xiaomi-redmi-note-6-pro-32gb-blue-yo0C3W.png,2.890.000 ₫,Điện thoại Xiaomi Redmi Note 6 Pro 32Gb Blue,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-note-6-pro-32gb-blue,(1) ,Xiaomi,3 GB,Snapdragon 636,32 GB,,
https://cdn.mediamart.vn/images/product/dien-thoai-xiaomi-redmi-10-464-xam-973iFJ.jpg,3.990.000 ₫,Điện thoại Xiaomi Redmi 10 (4+64) Xám,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-10-4-64-xam,(1) ,Xiaomi,4 GB,Helio G88,64 GB,6.5 inch,"Xám (4-64),Trắng (4-64),Xanh (4-128),Trắng (4-128)"
https://cdn.mediamart.vn/images/product/din-thoi-xiaomi-redmi-note-11-464-xam_6706cc42.jpg,4.590.000 ₫,Điện thoại Xiaomi Redmi Note 11 (4+64) Xám,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-note-11-4-64-xam,(0) ,Xiaomi,4 GB,Snapdragon 680,64 GB,6.43 inch,"Xám (4-64),Xanh (4-64),Xanh nhạt (4-64),Xám (4+128),Xanh (4+128),Xanh nhạt (4+128)"
https://cdn.mediamart.vn/images/product/din-thoi-xiaomi-redmi-10a-232-xanh_3866132a.jpg,2.890.000 ₫,Điện thoại Xiaomi Redmi 10A (2+32) Xanh,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-10a-2-32-xanh,(0) ,Xiaomi,2 GB,Helio G25,32 GB,6.53 inch,"Xanh,Xám,Bạc"
https://cdn.mediamart.vn/images/product/din-thoi-xiaomi-redmi-note-11-pro-5g-8128g-xanh-duong-dm_4031e687.jpg,8.990.000 ₫,Điện thoại Xiaomi Redmi Note 11 Pro 5G (8+128G) Xanh Dương (DM),1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-note-11-pro-5g-8-128g-xanh-duong-dm-,(0) ,Xiaomi,8 GB,Snapdragon 695,128 GB,6.67 inch,
https://cdn.mediamart.vn/images/product/-n0A3jY.jpg,5.990.000 ₫,Điện thoại Xiaomi Redmi Note 10s (8+128) Xám,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-note-10s-8-128,(1) ,Xiaomi,8 GB,Helio G95,128 GB,6.43 inch,
https://cdn.mediamart.vn/images/product/-kJOAJK.jpg,3.990.000 ₫,Điện thoại Xiaomi Redmi 10 (4+64) Trắng DM,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-10-4-64-trang-dm,(1) ,Xiaomi,4 GB,Helio G88,64 GB,6.5 inch,
https://cdn.mediamart.vn/images/product/din-thoi-xiaomi-redmi-note-11-pro-5g-8128g-xam_e397cb65.jpg,8.990.000 ₫,Điện thoại Xiaomi Redmi Note 11 Pro 5G (8+128G) Xám,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-note-11-pro-5g-8-128g-xam,(0) ,Xiaomi,8 GB,Snapdragon 695,128 GB,6.67 inch,"Xám,Xanh"
https://cdn.mediamart.vn/images/product/dien-thoai-xiaomi-redmi-9c-364-xam-4f0546.jpg,2.990.000 ₫,Điện thoại Xiaomi REDMI 9C (3+64) Xám,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-9c-3-64-xam,(1) ,Xiaomi,3 GB,Helio G35,64 GB,6.53 inch,"Xám (3+64),Xanh (3+64),Xám (4+128),Tím (4+128)"
https://cdn.mediamart.vn/images/product/dien-thoai-xiaomi-redmi-9a-232-xanh-la-EbXAmv.jpg,2.190.000 ₫,Điện thoại Xiaomi REDMI 9A (2+32) Xanh lá,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-9a-2-32-xanh-la,(1) ,Xiaomi,2 GB,Helio G25,32 GB,6.53 inch,"Xanh lá,Xám,Xanh dương"
https://cdn.mediamart.vn/images/product/dien-thoai-xiaomi-redmi-9c-4128-xam-V9RSy6.jpg,3.290.000 ₫,Điện thoại Xiaomi Redmi 9C (4+128) Xám,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-9c-4-128-xam,(1) ,Xiaomi,4 GB,Helio G35,128 GB,6.53 inch,"Xám (3+64),Xanh (3+64),Xám (4+128),Tím (4+128)"
https://cdn.mediamart.vn/images/product/dien-thoai-xiaomi-redmi-10-464-xam-dm-r51b23.jpg,3.990.000 ₫,Điện thoại Xiaomi Redmi 10 (4+64) Xám DM,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-10-4-64-xam-dm,(1) ,Xiaomi,4 GB,Helio G88,64 GB,6.5 inch,
https://cdn.mediamart.vn/images/product/din-thoi-xiaomi-redmi-10-4128-xanh-duong_a6f0b79a.jpg,4.090.000 ₫,Điện thoại Xiaomi Redmi 10 (4+128) Xanh Dương,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-10-4-128-xanh-duong,(0) ,Xiaomi,4 GB,Helio G88,128 GB,6.5 inch,"Xám (4-64),Trắng (4-64),Xanh (4-128),Trắng (4-128)"
https://cdn.mediamart.vn/images/product/din-thoi-xiaomi-11-lite-5g-ne-den-8128_3520bc97.jpg,8.290.000 ₫,Điện thoại Xiaomi 11 Lite 5G NE Đen (8+128),1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-11-lite-5g-ne-den,(1) ,Xiaomi,8 GB,Snapdragon 778G,128 GB,6.55 inch,"Đen,Hồng,Xanh"
