images_intro,price,title,hot_line,link_source,point,rating_total,star_percent_list,branch,Công nghệ màn hình,Độ phân giải,Màn hình rộng,Camera sau,Quay phim,Camera trước,Hệ điều hành,Chipset (hãng SX CPU),Tốc độ CPU,Bộ nhớ trong,Mạng di động,Wifi,Bluetooth,Cổng kết nối/sạc
https://didongviet.vn/pub/media/catalog/product//i/p/iphone-13-aar-xanh-la-didongviet_1.jpg,25.490.000₫,iPhone 13 512GB Xanh Lá Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-13-512gb-xanh-la-cay.html,4.5,,,iPhone,OLED,1170 x 2532 Pixels,"6.1"" - Tần số quét 60 Hz",2 camera 12 MP,4K 2160p@30fps / 4K 2160p@60fps / FullHD 1080p@120fps / HD 720p@30fps / FullHD 1080p@240fps / FullHD 1080p@60fps / 4K 2160p@24fps / FullHD 1080p@30fps,12 MP,iOS 15,Apple A15 Bionic,,512 GB,Hỗ trợ 5G,"Wifi 6 802.11 ax/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot",v5.0,Lightning
https://didongviet.vn/pub/media/catalog/product//i/p/iphone-13-pro-aar-xanh-la-didongviet_1.jpg,28.390.000₫,iPhone 13 Pro 256GB Xanh lá Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-13-pro-256gb-xanh-la-cay.html,4.5,,,iPhone,Super Retina XDR - ProMotion,1170 x 2532 Pixels,"6.1"" - Tần số quét 120 Hz",3 camera 12 MP,4K 2160p@30fps / 4K 2160p@60fps / FullHD 1080p@120fps / HD 720p@30fps / FullHD 1080p@240fps / FullHD 1080p@60fps / 4K 2160p@24fps / FullHD 1080p@30fps,12 MP,iOS 15,Apple A15 Bionic,,256 GB,Hỗ trợ 5G,"Wifi 6 802.11 ax/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot",v5.0,Lightning
https://didongviet.vn/pub/media/catalog/product//i/p/iphone-13-pro-aar-xanh-la-didongviet_1_1.jpg,37.990.000₫,iPhone 13 Pro 1TB Xanh lá Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-13-pro-1tb-xanh-la-cay.html,4.5,,,iPhone,Super Retina XDR - ProMotion,1170 x 2532 Pixels,"6.1"" - Tần số quét 120 Hz",3 camera 12 MP,4K 2160p@30fps / 4K 2160p@60fps / FullHD 1080p@120fps / HD 720p@30fps / FullHD 1080p@240fps / FullHD 1080p@60fps / 4K 2160p@24fps / FullHD 1080p@30fps,12 MP,iOS 15,Apple A15 Bionic,,1 TB,Hỗ trợ 5G,"Wifi 6 802.11 ax/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot",v5.0,Lightning
https://didongviet.vn/pub/media/catalog/product//i/p/iphone-13-pro-aar-xanh-la-didongviet_3.jpg,31.190.000₫,iPhone 13 Pro Max 256GB Xanh lá Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-13-pro-max-256gb-xanh-la-cay.html,4.5,,,iPhone,"OLED, 120Hz, Super Retina XDR với ProMotion 6.1‑inch, OLED, 458 pp, HDR display, True Tone, Wide color (P3), Haptic Touch",2778 x 1284 pixel,6.7 inch,"Camera góc rộng: 12MP, ƒ/1.5  Camera góc siêu rộng: 12MP, ƒ/1.8  Camera tele : 12MP, /2.8",4K @24 fps/25 fps/30 fps/ 60 fps  1080p HD @25 fps/30 fps/60 fps  720p HD@ 30 fps,"12MP, ƒ/2.2",iOS 15,Apple A15 Bionic,,256 GB,Hỗ trợ 5G,WiFi 6E,5.0,"Sạc nhanh 20W, Sạc không dây, Sạc ngược không dây 15W, Sạc pin nhanh, Tiết kiệm pin"
https://didongviet.vn/pub/media/catalog/product//i/p/iphone-13-pro-aar-xanh-la-didongviet_2.jpg,32.990.000₫,iPhone 13 Pro 512GB Xanh lá Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-13-pro-512gb-xanh-la-cay.html,4.5,,,iPhone,Super Retina XDR - ProMotion,1170 x 2532 Pixels,"6.1"" - Tần số quét 120 Hz",3 camera 12 MP,4K 2160p@30fps / 4K 2160p@60fps / FullHD 1080p@120fps / HD 720p@30fps / FullHD 1080p@240fps / FullHD 1080p@60fps / 4K 2160p@24fps / FullHD 1080p@30fps,12 MP,iOS 15,Apple A15 Bionic,,512 GB,Hỗ trợ 5G,"Wifi 6 802.11 ax/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot",v5.0,Lightning
https://didongviet.vn/pub/media/catalog/product//i/p/iphone-13-aar-xanh-la-didongviet_2.jpg,19.790.000₫,iPhone 13 128GB Xanh lá Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-13-128gb-xanh-la-cay.html,4.5,,,iPhone,OLED,1170 x 2532 Pixels,"6.1"" - Tần số quét 60 Hz",2 camera 12 MP,4K 2160p@30fps / 4K 2160p@60fps / FullHD 1080p@120fps / HD 720p@30fps / FullHD 1080p@240fps / FullHD 1080p@60fps / 4K 2160p@24fps / FullHD 1080p@30fps,12 MP,iOS 15,Apple A15 Bionic,,128 GB,Hỗ trợ 5G,"Wifi 6 802.11 ax/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot",v5.0,Lightning
https://didongviet.vn/pub/media/catalog/product//i/p/iphone-13-pro-aar-xanh-la-didongviet.jpg,26.390.000₫,iPhone 13 Pro 128GB Xanh lá Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-13-pro-128gb-mau-xanh-la-cay.html,4.5,,,iPhone,Super Retina XDR - ProMotion,1170 x 2532 Pixels (460 PPI),"6.1"" - Tần số quét 120 Hz",3 camera 12 MP,4K 2160p@30fps / 4K 2160p@60fps / FullHD 1080p@120fps / HD 720p@30fps / FullHD 1080p@240fps / FullHD 1080p@60fps / 4K 2160p@24fps / FullHD 1080p@30fps,12 MP,iOS 15,Apple A15 Bionic,,128 GB,Hỗ trợ 5G,"Wifi 6 802.11 ax/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot",v5.0,Lightning
https://didongviet.vn/pub/media/catalog/product//t/r/trang-thumb.png,9.990.000₫,iPhone SE 3 64GB Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-se-2022-64gb.html,4.5,,,iPhone,IPS LCD,Full HD+ (1080 x 2400 Pixels),"4.7"" - Tần số quét 60Hz",12 MP,1080P@30/60FPS,12 MP,iOS 15,Apple A15 Bionic,,64 GB,Hỗ trợ 5G,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,v5.0,Lightning
https://didongviet.vn/pub/media/catalog/product//i/p/iphone-13-pro-aar-xanh-la-didongviet_5.jpg,35.990.000₫,iPhone 13 Pro Max 512GB Xanh lá Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-13-pro-max-512gb-chinh-h-ng-vn-a-xanh-la-cay.html,4.5,,,iPhone,"OLED , 120Hz, Super Retina XDR với ProMotion 6.1‑inch, 458 pp, HDR display, True Tone, Wide color (P3), Haptic Touch",2778 x 1284 pixel,6.7 inch,"Camera góc rộng: 12MP, ƒ/1.5  Camera góc siêu rộng: 12MP, ƒ/1.8  Camera tele : 12MP, /2.8",4K @24 fps/25 fps/30 fps/ 60 fps  1080p HD @25 fps/30 fps/60 fps  720p HD@ 30 fps,12MP  ƒ/2.2,iOS 15,A15 Bionic,,512 GB,Hỗ trợ 5G,WiFi 6E,5.0,"Lightning , Sạc nhanh 20W, Sạc không dây, Sạc ngược không dây 15W, Sạc pin nhanh, Tiết kiệm pin"
https://didongviet.vn/pub/media/catalog/product//s/e/se-thumb.png,11.990.000₫,iPhone SE 3 128GB Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-se-2022-128gb.html,4.5,,,iPhone,IPS LCD,Full HD+ (1080 x 2400 Pixels),"4.7"" - Tần số quét 60Hz",12 MP,1080P@30/60FPS,12 MP,iOS 15,Apple A15 Bionic,,128 GB,Hỗ trợ 5G,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,v5.0,Lightning
