images_intro,price,title,hot_line,link_source,point,rating_total,star_percent_list,branch,Công nghệ màn hình,Độ phân giải,Màn hình rộng,Camera sau,Quay phim,Camera trước,Hệ điều hành,Chipset (hãng SX CPU),Tốc độ CPU,Bộ nhớ trong,Mạng di động,Wifi,Bluetooth,Cổng kết nối/sạc
https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-64gb-didongviet.jpeg,17.590.000₫,iPhone 12 128GB Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-12-128gb-vna.html,4.5,,,iPhone,Super Retina XDR OLED,1170 x 2532 pixels,6.1 inches,12 MP + 12 MP,"4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 30fps)",12 MP,iOS 14,Apple A14 Bionic (5 nm),Hexa-core,128 GB,Hỗ trợ 5G,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","Lightning, USB 2.0"
https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-pro-512gb-vna-dd.jpg,27.400.000₫,iPhone 12 Pro 512GB Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-12-pro-512gb-vna.html,4.5,,,iPhone,Super Retina XDR OLED,1170 x 2532 pixels,6.1 inches,12 MP + 12 MP + 12 MP + TOF,"4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps)",12 MP,iOS 14,Apple A14 Bionic (5 nm),Hexa-core,512 GB,Hỗ trợ 5G,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","Lightning, USB 2.0"
https://didongviet.vn/pub/media/catalog/product//d/e/den-thumb.png,14.990.000₫,iPhone SE 3 256GB Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-se-2022-256gb.html,4.5,,,iPhone,IPS LCD,Full HD+ (1080 x 2400 Pixels),"4.7"" - Tần số quét 60Hz",12 MP,FullHD 1080p@30fps / HD 720p@30fps,12 MP,iOS 15,Apple A15 Bionic,,256 GB,Hỗ trợ 5G,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,v5.0,Lightning
https://didongviet.vn/pub/media/catalog/product//i/p/ip12.jpg,15.390.000₫,iPhone 12 64GB Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-12-64gb-vna.html,4.5,,,iPhone,Super Retina XDR OLED,1170 x 2532 pixels,6.1 inches,12 MP + 12 MP,"4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 30fps), stereo sound rec.",12 MP,iOS 14.1,Apple A14 Bionic (5 nm),Hexa-core,64 GB,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","Lightning, USB 2.0"
https://didongviet.vn/pub/media/catalog/product//i/p/iphone-11-128gb-chinh-hang_2.jpg,12.590.000₫,iPhone 11 128GB Chính Hãng (VN/A) ,1800.6018,https://didongviet.vn/iphone-11-128gb-chinh-hang.html,4.5,,,iPhone,IPS LCD,828 x 1792 pixels,6.1 inches,12 MP + 12 MP,"2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.","12 MP, f/2.2",iOS 13,Apple A13 Bionic (7 nm+),,128 GB,,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot","5.0, A2DP, LE",
https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-redmi-note-10s-den-didongviet.jpg,5.390.000₫,Redmi Note 10s (8GB|128GB) Chính Hãng,1800.6018,https://didongviet.vn/xiaomi-redmi-note-10s,4.5,,,Xiaomi,AMOLED,1080 x 2400 pixels,6.43 inches,64 MP + 8 MP + 2 MP +  2 MP,"HD 720p@30fps, FullHD 1080p@30fps",13 MP,"Android 11, MIUI 12",Mediatek Helio G95 (12 nm),Octa-core,64/128 GB,4G,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE",USB Type-C 2.0
https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-redmi-9a-didongviet.jpg,2.200.000₫,Xiaomi Redmi 9A (2GB|32GB) Chính Hãng,1800.6018,https://didongviet.vn/xiaomi-redmi-9a,4.5,,,Xiaomi,IPS LCD,HD+ (700 x 1600 Pixels),6.53 inch,13 MP,"Quay phim HD 720p@30fps, Quay phim FullHD 1080p@30fps",5 MP,Android 10,MediaTek Helio G25 8 nhân,8 nhân 2.0 GHz,32 GB,Hỗ trợ 4G,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, Wi-Fi hotspot","A2DP, LE",Micro USB
https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-11-lite-5g-128gb-didongviet.jpg,7.590.000₫,Xiaomi 11 Lite 5G NE (8GB|128GB) Chính Hãng,1800.6018,https://didongviet.vn/xiaomi-11-lite-5g-ne-128gb,4.5,,,Xiaomi,AMOLED DotDisplay,Full HD+ (1080 x 2400 Pixels),"6.55"" - Tần số quét 90 Hz",64MP + 8MP + 5MP,"4K 2160p@30fps, FullHD 1080p@240fps, FullHD 1080p@30fps, HD 720p@960fps",20 MP,Android 11,Qualcomm Snapdragon 778G,Up to 2.4GHz,128 GB,Hỗ trợ 5G,"Wifi 6 802.11 ax/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot","5.2, A2DP, LE, aptX HD",USB Type-C
https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-12-didongviet.jpg,14.990.000₫,Xiaomi 12 (8GB|256GB) Chính Hãng,1800.6018,https://didongviet.vn/xiaomi-12-chinh-hang.html,4.5,,,Xiaomi,AMOLED,Full HD+ (1080 x 2400 Pixels),"6.28"" - Tần số quét 120Hz","Chính 50 MP &amp; Phụ 13 MP, 5 MP",8K@24fps (HDR10) / 4K@30fps (HDR10+) / 1080p@30/120/240/960fps / 720p@1920fps,32 MP,Android 12 - MIUI 13,Qualcomm Snapdragon 8 Gen1,1 nhân 3.0 GHz &amp; 3 nhân 2.5 GHz &amp; 4 nhân 1.8 GHz,256 GB,5G,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,v5.2,Type-C
https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-redmi-10-128gb-didongviet.jpg,3.550.000₫,Xiaomi Redmi 10 (4GB|128GB) Chính Hãng,1800.6018,https://didongviet.vn/xiaomi-redmi-10-4gb-128gb.html,4.5,,,Xiaomi,IPS LCD,(2400 x 1080 pixel) FHD+,6.5 inch,"50 MP với khẩu độ f / 1.8 - Cảm biến siêu rộng 8MP với khẩu độ f / 2.2, macro 2MP - Cảm biến độ sâu 2MP với khẩu độ f / 2.4",,8 MP với khẩu độ f / 2.0,Android 11với MIUI 12.5,Octa Core MediaTek Helio G88,2GHz Cortex-A75 + Hexa 2 GHz 6x Cortex-A55,64 GB /128 GB (eMMC 5.1),Dual 4G VoLTE,2.4 GHz / 5GHz,5.1,USB Type-C
https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-redmi-note-11s-128gb-didongviet.jpg,5.690.000₫,Xiaomi Redmi Note 11s (8GB|128GB) Chính Hãng,1800.6018,https://didongviet.vn/xiaomi-redmi-note-11s-128gb.html,4.5,,,Xiaomi,AMOLED,Full HD+ (1080 x 2400 Pixels),"6.43"" - Tần số quét 90 Hz",108 MP + 8 MP + 2 MP + 2 MP,FullHD 1080p@30fpsHD 720p@30fps,16 MP,Android 11,MediaTek Helio G96 8 nhân,2 nhân 2.05 GHz &amp; 6 nhân 2.0 GHz,128 GB,Hỗ trợ 4G,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,v5.0,Type-C
https://didongviet.vn/pub/media/catalog/product//o/p/oppo-a55-didongviet.jpg,3.990.000₫,OPPO A55 (4GB|64GB) Chính Hãng,1800.6018,https://didongviet.vn/oppo-a55.html,4.5,,,OPPO,IPS LCD,HD+ (720 x 1600 Pixels),"6.5"" - Tần số quét 60 Hz",50 MP (chính) + 2 MP (marco) + 2 MP (xóa phông),FullHD 1080p@30fps,16 MP,Android 11,MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz &amp; 4 nhân 1.8 GHz,64 GB,Hỗ trợ 4G,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot",v5.0,USB Type-C
https://didongviet.vn/pub/media/catalog/product//o/p/oppo-a16k-didongviet.jpg,2.890.000₫,OPPO A16K (3GB|32GB) Chính Hãng,1800.6018,https://didongviet.vn/oppo-a16k.html,4.5,,,OPPO,IPS LCD,HD+ (720 x 1600 Pixels),"6.52"" - Tần số quét 60 Hz",13 MP,FullHD 1080p@30fps / HD 720p@30fps,5 MP,Android 11,MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz &amp; 4 nhân 1.8 GHz,32 GB,Hỗ trợ 4G,"Wi-Fi 802.11 a / b / g / n / ac, băng tần kép, Wi-Fi Direct","5.0, A2DP, LE, aptX","USB Type-C 2.0, USB On-The-Go"
https://didongviet.vn/pub/media/catalog/product//o/p/oppo-a76-128gb-didongviet.jpg,5.290.000₫,OPPO A76 (6GB|128GB) Chính Hãng,1800.6018,https://didongviet.vn/oppo-a76.html,4.5,,,OPPO,IPS LCD,HD+ (720 x 1612 Pixels),"6.56"" - Tần số quét 90 Hz",12 MP + 2 MP,FullHD 1080p@30fps / HD 720p@30fps,8 MP,Android 11,Qualcomm Snapdragon 680 8 nhân,4 nhân 2.4 GHz &amp; 4 nhân 1.9 GHz,128 GB,Hỗ trợ 4G,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac",v5.0,USB Type-C
https://didongviet.vn/pub/media/catalog/product//o/p/oppo-a95-128gb-didongviet.jpg,5.990.000₫,OPPO A95 (8GB/128GB) Chính Hãng,1800.6018,https://didongviet.vn/oppo-a95.html,4.5,,,OPPO,AMOLED,Full HD+ (1080 x 2400 Pixels),6.43 inch,"Chính 48 MP &amp; Phụ 8 MP, 2 MP",4K 2160p@30fps - FullHD 1080p@120fps - FullHD 1080p@30fps,16 MP,Android 11,Snapdragon 662,8 chia thành 2 cụm: 4 nhân - 2 GHz - 4 nhân - 1.8 Ghz,128 GB,Hỗ trợ 4G,Dual-band (2.4 GHz/5 GHz) - Wi-Fi 802.11 a/b/g/n/ac - Wi-Fi Direct - Wi-Fi hotspot,v5.1 A2DP LE,Type-C
https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-z-fold-3-phantom-silver-didongviet_1_1_1_1.jpg,32.790.000₫,Samsung Galaxy Z Fold3 5G (12GB|512GB) Chính Hãng (BHĐT),1800.6018,https://didongviet.vn/samsung-galaxy-z-fold3-5g-512gb-da-kich-hoat.html,4.5,,,Samsung,,,,,,,,,,,,,,
https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-z-fold3-5g-256gb-didongviet_1.jpg,29.990.000₫,Samsung Galaxy Z Fold3 5G (12GB|256GB) Chính Hãng,1800.6018,https://didongviet.vn/samsung-galaxy-z-fold-3-256gb.html,4.5,,,Samsung,Dynamic AMOLED 2X,Full HD+ (1768 x 2208 Pixels),"Chính 7.6"" &amp; Phụ 6.2""",3 camera 12 MP,"HD 720p@960fps, 4K 2160p@60fps",10 MP &amp; 4 MP,Android 11,Qualcomm Snapdragon 888,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz &amp; 4 nhân 1.8 GHz",256 GB,Hỗ trợ 5G,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD","3.1, Type-C 1.0"
https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-z-flip-3-bh_t-didongviet_1.jpg,15.990.000₫,Samsung Galaxy Z Flip3 5G (8GB|256GB) Chính Hãng (BHĐT),1800.6018,https://didongviet.vn/samsung-galaxy-z-flip-3-5g-256gb-bhdt.html,4.5,,,Samsung,Dynamix AMOLED 2X,Full HD+ (1080 x 2640 Pixels),"Màn hình chính 6.7"", Màn hình phụ: 1.9""","Camera góc rộng: 12MP 2PD, OIS, F1.8; Camera góc siêu rộng: 12MP, F2.2, 123°","4K@30/60fps, 1080p@60/240fps, 720p@960fps, HDR10+",10MP f2.4,Android 11,Snapdragon 888 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz &amp; 4 nhân 1.8 GHz",256 GB,Hỗ trợ 5G,Wi-Fi 802.11 a/b/g/n/ac/ax - Wi-Fi hotspot - Dual-band (2.4 GHz/5 GHz) - Wi-Fi Direct,v5.1 - A2DP. - LE,Type-C
https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-z-fold-3-phantom-green-didongviet_1_2.jpeg,32.990.000₫,Samsung Galaxy Z Fold3 5G (12GB|512GB) Chính Hãng,1800.6018,https://didongviet.vn/samsung-galaxy-z-fold3-5g-512gb.html,4.5,,,Samsung,Dynamic AMOLED 2X,Full HD+ (1768 x 2208 Pixels),"Chính 7.6"" &amp; Phụ 6.2"" - Tần số quét 120 Hz",3 camera 12 MP,"4K 2160p@60fps, FullHD 1080p@240fps, FullHD 1080p@30fps, HD 720p@960fps",10 MP &amp; 4 MP,Android 11,Snapdragon 888 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz &amp; 4 nhân 1.8 GHz",512 GB,Hỗ trợ 5G,Wi-Fi 802.11 a/b/g/n/ac/ax - Wi-Fi hotspot - Dual-band (2.4 GHz/5 GHz) - Wi-Fi Direct,"v5.1, LE, A2DP",Type-C
https://didongviet.vn/pub/media/catalog/product//o/p/oppo-reno-6-didongviet-thumb2.jpg,10.290.000₫,OPPO Reno6 5G (8GB|128GB) Chính Hãng,1800.6018,https://didongviet.vn/oppo-reno6,4.5,,,OPPO,AMOLED DotDisplay,Full HD+ (1080 x 2400 Pixels),"6.43"" - Tần số quét 90 Hz","Chính 64 MP &amp; Phụ 8 MP, 2 MP",4K 2160p@30fps / FullHD 1080p@30fps / FullHD 1080p@60fps / HD 720p@30fps / HD 720p@60fps,32 MP,Android 11,MediaTek Dimensity 900 5G,2 nhân 2.4 GHz &amp; 6 nhân 2 GHz,128 GB,Hỗ trợ 5G,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot",v5.0,USB Type-C
https://didongviet.vn/pub/media/catalog/product//o/p/oppo-reno6-z-5g-didongviet_1_.jpg,6.290.000₫,OPPO Reno6 Z 5G (8GB|128GB) Chính Hãng (BHĐT),1800.6018,https://didongviet.vn/oppo-reno6-z-da-kich-hoat.html,4.5,,,OPPO,AMOLED,Full HD+ (1080 x 2400 Pixels),6.43 inch,64MP + 8MP + 2MP,"Quay phim: HD 720p@240fps, FullHD 1080p@120fps, HD 720p@30fps, FullHD 1080p@60fps, FullHD 1080p@30fps, 4K 2160p@30fps, HD 720p@60fps",32 MP,Android 11,Dimensity 800U 5G,Up to 2.4GHz,128 GB,5G,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac","v5.1, LE, A2DP",USB Type-C
https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-z-flip-3-green-didongviet.jpg,16.790.000₫,Samsung Galaxy Z Flip3 5G (8GB|128GB) Chính Hãng,1800.6018,https://didongviet.vn/samsung-galaxy-z-flip-3-128gb.html,4.5,,,Samsung,Dynamix AMOLED 2X,Full HD+ (1080 x 2640 Pixels),"Chính 6.7"" &amp; Phụ 1.9""",2 camera 12 MP,"4K@30/60fps, 1080p@60/240fps, 720p@960fps, HDR10+",10 MP,Android 11,Qualcomm SM8350 Snapdragon 888 (5 nm),"1 nhân 2.84 GHz, 3 nhân 2.42 GHz &amp; 4 nhân 1.8 GHz",128 GB,Hỗ trợ 5G,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot","v5.1, LE, A2DP",Type-C
https://didongviet.vn/pub/media/catalog/product//1/_/1_4.jpg,17.390.000₫,Samsung Galaxy Z Flip3 5G (8GB|128GB) Flex Your Way 2022 Limited Edition,1800.6018,https://didongviet.vn/samsung-galaxy-z-flip3-limited-edition.html,4.5,,,Samsung,Dynamix AMOLED 2X,Full HD+ (1080 x 2640 Pixels),"Màn hình chính 6.7"", Màn hình phụ: 1.9""","Camera góc rộng: 12MP 2PD, OIS, F1.8; Camera góc siêu rộng: 12MP, F2.2, 123°","4K@30/60fps, 1080p@60/240fps, 720p@960fps, HDR10+",10MP f2.4,Android 11,Snapdragon 888 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz &amp; 4 nhân 1.8 GHz",128 GB,Hỗ trợ 5G,Wi-Fi 802.11 a/b/g/n/ac/ax - Wi-Fi hotspot - Dual-band (2.4 GHz/5 GHz) - Wi-Fi Direct,v5.1 - A2DP. - LE,USB Type-C
https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-z-flip-3-cream-didongviet.jpg,18.590.000₫,Samsung Galaxy Z Flip3 5G (8GB|256GB) Chính Hãng,1800.6018,https://didongviet.vn/samsung-galaxy-z-flip-3-5g-256gb.html,4.5,,,Samsung,Dynamix AMOLED 2X,Full HD+ (1080 x 2640 Pixels),"Màn hình chính 6.7"", Màn hình phụ: 1.9""","Camera góc rộng: 12MP 2PD, OIS, F1.8; Camera góc siêu rộng: 12MP, F2.2, 123°","4K@30/60fps, 1080p@60/240fps, 720p@960fps, HDR10+",10MP f2.4,Android 11,Snapdragon 888 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz &amp; 4 nhân 1.8 GHz",256 GB,Hỗ trợ 5G,Wi-Fi 802.11 a/b/g/n/ac/ax - Wi-Fi hotspot - Dual-band (2.4 GHz/5 GHz) - Wi-Fi Direct,v5.1 - A2DP. - LE,Type-C
https://didongviet.vn/pub/media/catalog/product//i/v/ivertu-5g-monogram-canvas-leather-didongviet.jpg,89.990.000₫,iVertu 5G Monogram Canvas Leather,1800.6018,https://didongviet.vn/ivertu-5g-monogram-canvas-leather.html,4.5,,,Vertu,AMOLED,FHD+ (1080 x 2400 pixels),"6.67"" - Tần số quét 120Hz","Chính 64 MP &amp; Phụ 64 MP, 5 MP, 2 MP",4K 2160p@30fps / FullHD 1080p@30fps / HD 720p@30fps / FullHD 1080p@60fps / 4K 2160p@24fps,16 MP,Android 11 - Luxury OS (Vertu),Snapdragon 888 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.4 GHz &amp; 4 nhân 1.8 GHz",512 GB,Hỗ trợ 5G,802.11 a/b/g/n/ac/ax,v.5.2,USB Type-C
https://didongviet.vn/pub/media/catalog/product//v/e/vertu-aster-p-baroque-alligator-lava-didongviet.jpg,242.990.000₫,Vertu Aster P Baroque Alligator Lava,1800.6018,https://didongviet.vn/vertu-aster-p-baroque-alligator-lava.html,4.5,,,Vertu,,Full HD 1080p,"4.97""",16 MP,,20 MP,"Android 8.1, Luxury OS",Qualcomm Snapdragon,Octa-Core,128 GB,4G LTE/WCDMA/GSM/TD-SCDMA/CSFB,,5.0,USB Type-C 3.1
https://didongviet.vn/pub/media/catalog/product//a/s/aster-p-ti-gothic-cinnamon-alli-didongviet_1.png,271.990.000₫,Vertu Aster P Ti Gothic Cinnamon Alli,1800.6018,https://didongviet.vn/aster-p-ti-gothic-cinnamon-alli.html,4.5,,,Vertu,AMOLED,Full HD (1080p),"4.97"" - Tần số quét 60 Hz",16MP,FullHD 1080p@30fps / HD 720p@30fps,20 MP,Android 8.1 (Oreo),Qualcomm Snapdragon 660,4 nhân 2.2 GHz &amp; 4 nhân 1.8 GHz,128 GB,Hỗ trợ 4G,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac",v5.0,USB Type-C
https://didongviet.vn/pub/media/catalog/product//i/v/ivertu-5g-calf-leather-didongviet.jpg,74.990.000₫,iVertu 5G Calf Leather,1800.6018,https://didongviet.vn/ivertu-5g-calf-leather.html,4.5,,,Vertu,OLED,FHD+ (1080 x 2400 pixels),"6.67"" - Tần số quét 120Hz","Chính 64 MP &amp; Phụ 64 MP, 5 MP, 2 MP",4K 2160p@30fps / FullHD 1080p@30fps / HD 720p@30fps / FullHD 1080p@60fps / 4K 2160p@24fps,16 MP,Android 11 - Luxury OS (Vertu),Snapdragon 888 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.4 GHz &amp; 4 nhân 1.8 GHz",512 GB,Hỗ trợ 5G,802.11 a/b/g/n/ac/ax,v.5.2,USB Type-C
https://didongviet.vn/pub/media/catalog/product//i/v/ivertu-5g-iron-black-alli-didongviet_3.png,177.990.000₫,iVERTU 5G Iron Black Alli,1800.6018,https://didongviet.vn/ivertu-5g-iron-black.html,4.5,,,Vertu,OLED Display,FHD+ (1080*2400),"6.67"" - tần số quét 120Hz","Chính 64 MP &amp; Phụ 5 MP, 2 MP",4K@30/60fps / 1080p@30/60/240fps / 720p@960fps / HDR10+ stereo sound rec. / gyro-EIS,16 MP,Android 11,Qualcomm Snapdragon 888,,512 GB,5G,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,v5.2,USB Type-C
https://didongviet.vn/pub/media/catalog/product//v/e/vertu-aster-p-baroque-calf-didongviet_1.jpg,137.900.000₫,Vertu Aster P Baroque Calf,1800.6018,https://didongviet.vn/vertu-aster-p-baroque-calf.html,4.5,,,Vertu,AMOLED,Full HD (1080p),"4.97"" - Tần số quét 60 Hz",16MP,FullHD 1080p@30fps / HD 720p@30fps,20 MP,Android 8.1 (Oreo),Qualcomm Snapdragon 660,4 nhân 2.2 GHz &amp; 4 nhân 1.8 GHz,128 GB,Hỗ trợ 4G,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac",v5.0,USB Type-C
https://didongviet.vn/pub/media/catalog/product//v/e/vertu-aster-p-gothic-da-ca-sau-didongviet.jpg,271.900.000₫,Vertu Aster P Gothic Alligator,1800.6018,https://didongviet.vn/vertu-aster-p-gothic-da-ca-sau.html,4.5,,,Vertu,AMOLED,Full HD (1080p),"4.97"" - Tần số quét 60 Hz",16MP,FullHD 1080p@30fps / HD 720p@30fps,20 MP,Android 8.1 (Oreo),Qualcomm Snapdragon 660,4 nhân 2.2 GHz &amp; 4 nhân 1.8 GHz,128 GB,Hỗ trợ 4G,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac",v5.0,USB Type-C
https://didongviet.vn/pub/media/catalog/product//v/e/vertu-aster-p-gothic-calf-didongviet.jpg,165.990.000₫,Vertu Aster P Gothic Calf,1800.6018,https://didongviet.vn/vertu-aster-p-gothic-calf.html,4.5,,,Vertu,AMOLED,Full HD (1080p),"4.97"" - Tần số quét 60 Hz",16MP,FullHD 1080p@30fps / HD 720p@30fps,20 MP,Android 8.1 (Oreo),Qualcomm Snapdragon 660,4 nhân 2.2 GHz &amp; 4 nhân 1.8 GHz,128 GB,Hỗ trợ 4G,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac",v5.0,USB Type-C
https://didongviet.vn/pub/media/catalog/product//i/v/ivertu-5g-onyx-lizard-didongviet.png,142.990.000₫,iVERTU 5G Onyx Lizard,1800.6018,https://didongviet.vn/ivertu-5g-onyx-lizard.html,4.5,,,Vertu,OLED Display,FHD+ (1080*2400),"6.67"" - tần số quét 120Hz","Chính 64 MP &amp; Phụ 5 MP, 2 MP",4K@30/60fps / 1080p@30/60/240fps / 720p@960fps / HDR10+ stereo sound rec. / gyro-EIS,16 MP,Android 11,Qualcomm Snapdragon 888,,512 GB,5G,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,v5.2,USB Type-C
https://didongviet.vn/pub/media/catalog/product//d/i/dien-thoai-vertu-signature-v-stainless-steel-didongviet.jpg,480.990.000₫,Vertu Signature V Stainless Steel Pure Silver,1800.6018,https://didongviet.vn/vertu-signature-v-stainless-steel-pure-silver.html,4.5,,,Vertu,TFT LCD,QVGA (240 x 320 Pixels),"2""",,,,Linux based feature phone,,,6 GB,,WLAN 802.11 b/g/n 2.4GHz,v4.0,Micro USB
https://didongviet.vn/pub/media/catalog/product//i/v/ivertu-18k-gold-with-diamonds-himalaya-alligator-leather-didongviet.jpg,887.990.000₫,iVERTU 18K Gold with Diamonds Himalaya Alligator Leather,1800.6018,https://didongviet.vn/ivertu-18k-gold-with-diamonds-himalaya-alligator-leather.html,4.5,,,Vertu,OLED,FHD+ (1080x2400 pixels),"6.67"" - Tần số quét 120 Hz","Chính 64 MP &amp; Phụ 5 MP, 2 MP",4K@30/60fps / 1080p@30/60/240fps / 720p@960fps / HDR10+ stereo sound rec. / gyro-EIS,16 MP,"Andriod 11, Luxury OS",Qualcomm Snapdragon 888,Octa-Core,512 GB,5G NR/LTE/WCDMA/CDMA/GSM,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,v5.2,USB Type-C 3.1
https://didongviet.vn/pub/media/catalog/product//v/e/vertu-rococo-himalaya-alligator-didongviet.jpg,439.900.000₫,Vertu Aster P Rococo Himalaya Alligator,1800.6018,https://didongviet.vn/vertu-aster-p-rococo-himalaya-alligator.html,4.5,,,Vertu,,Full HD (1080p),4.97'',16 MP,,20 MP,"Android 8.1, Luxury OS",Qualcomm Snapdragon,Octa-core,128 GB,4G LTE/WCDMA/GSM/TD-SCDMA/CSFB,,5.0,USB Type-C 3.1
https://didongviet.vn/pub/media/catalog/product//i/v/ivertu-5g-flame-red-alli-didongviet.png,231.990.000₫,iVERTU 5G Flame Red Alli,1800.6018,https://didongviet.vn/ivertu-5g-flame-red.html,4.5,,,Vertu,OLED Display,FHD+ (1080*2400),"6.67"" - tần số quét 120Hz","Chính 64 MP &amp; Phụ 5 MP, 2 MP",4K@30/60fps / 1080p@30/60/240fps / 720p@960fps / HDR10+ stereo sound rec. / gyro-EIS,16 MP,Android 11,Qualcomm Snapdragon 888,,512 GB,5G,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,v5.2,USB Type-C
https://didongviet.vn/pub/media/catalog/product//i/v/ivertu-5g-stitching-red-brown-calf-didongviet.png,120.990.000₫,iVERTU 5G Stitching (Red & Brown) Calf,1800.6018,https://didongviet.vn/ivertu-5g-stitching-red-brown-calf.html,4.5,,,Vertu,OLED Display,FHD+ (1080*2400),"6.67"" - tần số quét 120Hz","Chính 64 MP &amp; Phụ 5 MP, 2 MP",4K@30/60fps / 1080p@30/60/240fps / 720p@960fps / HDR10+ stereo sound rec. / gyro-EIS,16 MP,Android 11,Qualcomm Snapdragon 888,,512 GB,5G,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,v5.2,USB Type-C
